Nodes,Samples,Deg,Graph,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
100,1000,4,er,14,DF-PC (Pure),0.7462686567164178,0.9259259259259259,0.625,85.0,20177,15227,49697,2.8197567462921143
100,1000,4,er,15,Standard PC,0.7311178247734138,0.9236641221374046,0.605,89.0,44432,39482,68123,4.520043849945068
100,1000,4,er,15,DF-PC (Pure),0.7267267267267268,0.9097744360902256,0.605,91.0,27753,22803,68377,3.2781002521514893
100,1000,4,er,16,Standard PC,0.6360655737704918,0.9238095238095239,0.485,111.0,42074,37124,69075,4.515114068984985
100,1000,4,er,16,DF-PC (Pure),0.6384364820846905,0.9158878504672897,0.49,111.0,29901,24951,69385,3.650830030441284
100,1000,4,er,17,Standard PC,0.6582278481012658,0.896551724137931,0.52,108.0,40221,35271,60691,6.8832032680511475
100,1000,4,er,17,DF-PC (Pure),0.6583072100313481,0.8823529411764706,0.525,109.0,24265,19315,60992,3.6857638359069824
100,1000,4,er,18,Standard PC,0.6833855799373041,0.9159663865546218,0.545,101.0,45074,40124,67381,4.592049598693848
100,1000,4,er,18,DF-PC (Pure),0.68944099378882,0.9098360655737705,0.555,100.0,28128,23178,67608,4.556768417358398
100,1000,4,er,19,Standard PC,0.7200000000000001,0.936,0.585,91.0,37384,32434,57970,3.948425054550171
100,1000,4,er,19,DF-PC (Pure),0.729483282674772,0.9302325581395349,0.6,89.0,23977,19027,58483,2.9960765838623047
100,1000,4,er,20,Standard PC,0.6687116564417179,0.8650793650793651,0.545,108.0,45422,40472,66360,5.821329355239868
100,1000,4,er,20,DF-PC (Pure),0.6687116564417179,0.8650793650793651,0.545,108.0,27300,22350,66704,4.441352367401123
100,1000,4,er,21,Standard PC,0.6369426751592356,0.8771929824561403,0.5,114.0,37477,32527,56415,3.847635269165039
100,1000,4,er,21,DF-PC (Pure),0.65,0.8666666666666667,0.52,112.0,23951,19001,56973,2.99770188331604
100,1000,4,er,22,Standard PC,0.691358024691358,0.9032258064516129,0.56,100.0,44855,39905,67287,7.222649335861206
100,1000,4,er,22,DF-PC (Pure),0.6993865030674846,0.9047619047619048,0.57,98.0,28353,23403,67663,4.852694511413574
100,1000,4,er,23,Standard PC,0.7058823529411765,0.926829268292683,0.57,95.0,46503,41553,68800,6.294393062591553
100,1000,4,er,23,DF-PC (Pure),0.7177914110429447,0.9285714285714286,0.585,92.0,28373,23423,69287,4.274241924285889
100,1000,4,er,24,Standard PC,0.6498422712933754,0.8803418803418803,0.515,111.0,39633,34683,58677,4.632481098175049
100,1000,4,er,24,DF-PC (Pure),0.652037617554859,0.8739495798319328,0.52,111.0,23593,18643,59016,3.9169392585754395
100,1000,4,er,25,Standard PC,0.6996904024767802,0.9186991869918699,0.565,97.0,39532,34582,62299,5.248234748840332
100,1000,4,er,25,DF-PC (Pure),0.7116564417177913,0.9206349206349206,0.58,94.0,26724,21774,62891,3.780024290084839
100,1000,4,er,26,Standard PC,0.6258064516129033,0.8818181818181818,0.485,116.0,34227,29277,54437,3.980443239212036
100,1000,4,er,26,DF-PC (Pure),0.65,0.8666666666666667,0.52,112.0,23833,18883,55014,2.7586236000061035
100,1000,4,er,27,Standard PC,0.7228915662650602,0.9090909090909091,0.6,92.0,31200,26250,46395,3.511143207550049
100,1000,4,er,27,DF-PC (Pure),0.7207207207207207,0.9022556390977443,0.6,93.0,18791,13841,46590,2.4543776512145996
100,1000,4,er,28,Standard PC,0.7058823529411765,0.926829268292683,0.57,95.0,36944,31994,57222,4.269151210784912
100,1000,4,er,28,DF-PC (Pure),0.7037037037037036,0.9193548387096774,0.57,96.0,23614,18664,57399,2.9717423915863037
100,1000,4,er,29,Standard PC,0.7764705882352942,0.9428571428571428,0.66,76.0,38952,34002,56708,4.7032434940338135
100,1000,4,er,29,DF-PC (Pure),0.780058651026393,0.9432624113475178,0.665,75.0,22530,17580,56865,3.235962390899658
100,1000,4,sf,0,Standard PC,0.6165413533834586,0.9111111111111111,0.4659090909090909,102.0,14687,9737,24229,1.7273292541503906
100,1000,4,sf,0,DF-PC (Pure),0.6199261992619927,0.8842105263157894,0.4772727272727273,103.0,10593,5643,24638,1.333796501159668
100,1000,4,sf,1,Standard PC,0.6583333333333333,0.9753086419753086,0.4968553459119497,82.0,10755,5805,18277,1.5068140029907227
100,1000,4,sf,1,DF-PC (Pure),0.68,0.9340659340659341,0.5345911949685535,80.0,8131,3181,18662,1.1610896587371826
100,1000,4,sf,2,Standard PC,0.8169014084507041,0.9747899159663865,0.703030303030303,52.0,18048,13098,24659,1.9238998889923096
100,1000,4,sf,2,DF-PC (Pure),0.8194444444444445,0.959349593495935,0.7151515151515152,52.0,7852,2902,25536,1.0849461555480957
100,1000,4,sf,3,Standard PC,0.725925925925926,0.9514563106796117,0.5868263473053892,74.0,12813,7863,20138,1.7821667194366455
100,1000,4,sf,3,DF-PC (Pure),0.72992700729927,0.9345794392523364,0.5988023952095808,74.0,8562,3612,20956,1.6520195007324219
100,1000,4,sf,4,Standard PC,0.7216494845360824,0.9722222222222222,0.5737704918032787,81.0,16814,11864,24973,2.0034122467041016
100,1000,4,sf,4,DF-PC (Pure),0.7364864864864865,0.9646017699115044,0.5956284153005464,78.0,9855,4905,27072,1.3352205753326416
100,1000,4,sf,5,Standard PC,0.761904761904762,0.9904761904761905,0.6190476190476191,65.0,14535,9585,22623,1.844975233078003
100,1000,4,sf,5,DF-PC (Pure),0.7670250896057348,0.963963963963964,0.6369047619047619,65.0,9739,4789,22990,1.7968735694885254
100,1000,4,sf,6,Standard PC,0.7426470588235294,0.9351851851851852,0.6158536585365854,70.0,15234,10284,22999,1.5983896255493164
100,1000,4,sf,6,DF-PC (Pure),0.7472527472527473,0.9357798165137615,0.6219512195121951,69.0,9098,4148,23091,1.2810332775115967
100,1000,4,sf,7,Standard PC,0.6324110671936759,0.9090909090909091,0.48484848484848486,93.0,15860,10910,24587,1.6736297607421875
100,1000,4,sf,7,DF-PC (Pure),0.6513409961685824,0.8854166666666666,0.5151515151515151,91.0,10468,5518,25784,1.7147305011749268
100,1000,4,sf,8,Standard PC,0.7188612099644127,0.9528301886792453,0.5771428571428572,79.0,16767,11817,24104,1.7959833145141602
100,1000,4,sf,8,DF-PC (Pure),0.7272727272727272,0.9369369369369369,0.5942857142857143,78.0,8815,3865,27248,1.2937281131744385
100,1000,4,sf,9,Standard PC,0.7410358565737052,0.9587628865979382,0.6038961038961039,65.0,17374,12424,24421,2.382431983947754
100,1000,4,sf,9,DF-PC (Pure),0.744186046511628,0.9230769230769231,0.6233766233766234,66.0,8386,3436,24921,1.2569043636322021
100,1000,4,sf,10,Standard PC,0.6343283582089553,0.9444444444444444,0.47752808988764045,98.0,14873,9923,23894,1.6019072532653809
100,1000,4,sf,10,DF-PC (Pure),0.6472727272727273,0.9175257731958762,0.5,97.0,10396,5446,24565,1.3403637409210205
100,1000,4,sf,11,Standard PC,0.7185185185185186,0.9603960396039604,0.5739644970414202,76.0,14105,9155,21687,1.6857621669769287
100,1000,4,sf,11,DF-PC (Pure),0.7364620938628158,0.9444444444444444,0.6035502958579881,73.0,8805,3855,22944,1.4120171070098877
100,1000,4,sf,12,Standard PC,0.7591240875912408,0.9719626168224299,0.6227544910179641,66.0,13163,8213,20429,1.7229852676391602
100,1000,4,sf,12,DF-PC (Pure),0.7725631768953068,0.9727272727272728,0.6407185628742516,63.0,8513,3563,21001,1.3785769939422607
100,1000,4,sf,13,Standard PC,0.7076923076923076,0.9787234042553191,0.5542168674698795,76.0,11845,6895,18820,1.4071965217590332
100,1000,4,sf,13,DF-PC (Pure),0.7238805970149255,0.9509803921568627,0.5843373493975904,74.0,7870,2920,19345,1.1672673225402832
100,1000,4,sf,14,Standard PC,0.732824427480916,0.9696969696969697,0.588957055214724,70.0,13424,8474,21393,1.927966594696045
100,1000,4,sf,14,DF-PC (Pure),0.7424242424242424,0.9702970297029703,0.6012269938650306,68.0,9191,4241,21633,1.4194831848144531
100,1000,4,sf,15,Standard PC,0.8045112781954887,0.9907407407407407,0.6772151898734177,52.0,22047,17097,28795,2.547868490219116
100,1000,4,sf,15,DF-PC (Pure),0.8029739776951673,0.972972972972973,0.6835443037974683,53.0,7951,3001,29037,1.496955394744873
100,1000,4,sf,16,Standard PC,0.7266187050359713,0.9711538461538461,0.5804597701149425,76.0,13437,8487,21618,1.5989067554473877
100,1000,4,sf,16,DF-PC (Pure),0.7188612099644128,0.9439252336448598,0.5804597701149425,79.0,9399,4449,21791,1.1591830253601074
