Dataset,Nodes,Samples,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
mildew,35,2000,12,Standard PC,0.7368421052631579,0.9333333333333333,0.6086956521739131,20.0,2473,1878,4182,1.4491708278656006
mildew,35,2000,12,DF-PC (Pure),0.7804878048780488,0.8888888888888888,0.6956521739130435,18.0,2073,1478,4479,1.6000256538391113
mildew,35,2000,13,Standard PC,0.763157894736842,0.9666666666666667,0.6304347826086957,18.0,2486,1891,4344,2.049100399017334
mildew,35,2000,13,DF-PC (Pure),0.7654320987654321,0.8857142857142857,0.6739130434782609,19.0,2133,1538,4572,1.4995121955871582
mildew,35,2000,14,Standard PC,0.7692307692307693,0.9375,0.6521739130434783,18.0,2619,2024,4413,2.409414291381836
mildew,35,2000,14,DF-PC (Pure),0.8095238095238095,0.8947368421052632,0.7391304347826086,16.0,2222,1627,4809,2.323091983795166
mildew,35,2000,15,Standard PC,0.825,0.9705882352941176,0.717391304347826,14.0,2804,2209,4578,5.297637224197388
mildew,35,2000,15,DF-PC (Pure),0.8333333333333333,0.9210526315789473,0.7608695652173914,14.0,2311,1716,4811,3.2995333671569824
mildew,35,2000,16,Standard PC,0.75,0.8823529411764706,0.6521739130434783,20.0,2764,2169,4623,6.106177806854248
mildew,35,2000,16,DF-PC (Pure),0.776470588235294,0.8461538461538461,0.717391304347826,19.0,2372,1777,4931,5.124002456665039
mildew,35,2000,17,Standard PC,0.7733333333333333,1.0,0.6304347826086957,17.0,2531,1936,4274,2.932440996170044
mildew,35,2000,17,DF-PC (Pure),0.8048780487804877,0.9166666666666666,0.717391304347826,16.0,2102,1507,4506,2.282973527908325
mildew,35,2000,18,Standard PC,0.775,0.9117647058823529,0.6739130434782609,18.0,2686,2091,4472,3.0272552967071533
mildew,35,2000,18,DF-PC (Pure),0.7857142857142858,0.868421052631579,0.717391304347826,18.0,2172,1577,4903,1.9537956714630127
mildew,35,2000,19,Standard PC,0.717948717948718,0.875,0.6086956521739131,22.0,2730,2135,4529,4.416880369186401
mildew,35,2000,19,DF-PC (Pure),0.6904761904761905,0.7631578947368421,0.6304347826086957,26.0,2244,1649,4767,2.8031303882598877
mildew,35,2000,20,Standard PC,0.75,0.8823529411764706,0.6521739130434783,20.0,2259,1664,3921,2.232290267944336
mildew,35,2000,20,DF-PC (Pure),0.7857142857142858,0.868421052631579,0.717391304347826,18.0,1908,1313,4150,1.798095941543579
mildew,35,2000,21,Standard PC,0.7848101265822786,0.9393939393939394,0.6739130434782609,17.0,2747,2152,4567,7.598049163818359
mildew,35,2000,21,DF-PC (Pure),0.7906976744186046,0.85,0.7391304347826086,18.0,2369,1774,5100,6.166099548339844
mildew,35,2000,22,Standard PC,0.8051948051948052,1.0,0.6739130434782609,15.0,2399,1804,4095,1.7655305862426758
mildew,35,2000,22,DF-PC (Pure),0.853658536585366,0.9722222222222222,0.7608695652173914,12.0,2020,1425,4402,1.5484778881072998
mildew,35,2000,23,Standard PC,0.7341772151898734,0.8787878787878788,0.6304347826086957,21.0,2235,1640,3883,1.494110107421875
mildew,35,2000,23,DF-PC (Pure),0.7906976744186046,0.85,0.7391304347826086,18.0,1913,1318,4254,1.4681167602539062
mildew,35,2000,24,Standard PC,0.7368421052631579,0.9333333333333333,0.6086956521739131,20.0,2528,1933,4318,1.4891817569732666
mildew,35,2000,24,DF-PC (Pure),0.75,0.8823529411764706,0.6521739130434783,20.0,2131,1536,4647,1.4258232116699219
mildew,35,2000,25,Standard PC,0.7567567567567568,1.0,0.6086956521739131,18.0,2587,1992,4379,1.5778312683105469
mildew,35,2000,25,DF-PC (Pure),0.8148148148148148,0.9428571428571428,0.717391304347826,15.0,2162,1567,4728,1.179811716079712
mildew,35,2000,26,Standard PC,0.810126582278481,0.9696969696969697,0.6956521739130435,15.0,2472,1877,4187,1.5665323734283447
mildew,35,2000,26,DF-PC (Pure),0.8333333333333333,0.9210526315789473,0.7608695652173914,14.0,2061,1466,4454,1.5284473896026611
mildew,35,2000,27,Standard PC,0.7692307692307693,0.9375,0.6521739130434783,18.0,2514,1919,4261,2.481802463531494
mildew,35,2000,27,DF-PC (Pure),0.7857142857142858,0.868421052631579,0.717391304347826,18.0,2135,1540,4737,2.5163497924804688
mildew,35,2000,28,Standard PC,0.8051948051948052,1.0,0.6739130434782609,15.0,2096,1501,3717,0.8405406475067139
mildew,35,2000,28,DF-PC (Pure),0.8148148148148148,0.9428571428571428,0.717391304347826,15.0,1801,1206,3950,0.7525756359100342
mildew,35,2000,29,Standard PC,0.8354430379746834,1.0,0.717391304347826,13.0,2458,1863,4219,1.7442653179168701
mildew,35,2000,29,DF-PC (Pure),0.8333333333333333,0.9210526315789473,0.7608695652173914,14.0,2090,1495,4544,1.2770404815673828
mildew,35,5000,0,Standard PC,0.85,1.0,0.7391304347826086,12.0,3313,2718,5436,5.354263067245483
