Nodes,Deg,ErrorRate,Rep,Algo,F1,Prec,Rec,SHD,Requests,Performed_CITs,Bypassed_CITs
20,3,0.05,2,DF-PC (Pure),0.5757575757575758,0.5277777777777778,0.6333333333333333,28.0,4068,1896,2172
20,3,0.05,3,DF-PC (Pure),0.4000000000000001,0.4,0.4,36.0,3488,1627,1861
20,3,0.05,4,DF-PC (Pure),0.4307692307692308,0.4,0.4666666666666667,37.0,3950,1992,1958
20,3,0.05,5,DF-PC (Pure),0.5423728813559322,0.5517241379310345,0.5333333333333333,27.0,3130,1696,1434
20,3,0.05,6,DF-PC (Pure),0.4918032786885246,0.4838709677419355,0.5,31.0,3717,2109,1608
20,3,0.05,7,DF-PC (Pure),0.7868852459016393,0.7741935483870968,0.8,13.0,3955,1685,2270
20,3,0.05,8,DF-PC (Pure),0.4848484848484848,0.4444444444444444,0.5333333333333333,34.0,7217,3959,3258
20,3,0.05,9,DF-PC (Pure),0.6567164179104478,0.5945945945945946,0.7333333333333333,23.0,5104,2616,2488
20,3,0.05,10,DF-PC (Pure),0.5714285714285713,0.5454545454545454,0.6,27.0,3869,2053,1816
20,3,0.05,11,DF-PC (Pure),0.7076923076923077,0.6571428571428571,0.7666666666666667,19.0,3863,1800,2063
20,3,0.05,12,DF-PC (Pure),0.47887323943661975,0.4146341463414634,0.5666666666666667,37.0,6242,3334,2908
20,3,0.05,13,DF-PC (Pure),0.5901639344262295,0.5806451612903226,0.6,25.0,3739,1898,1841
20,3,0.05,14,DF-PC (Pure),0.6557377049180327,0.6451612903225806,0.6666666666666666,21.0,4880,2492,2388
20,3,0.05,15,DF-PC (Pure),0.6285714285714286,0.55,0.7333333333333333,26.0,6419,2918,3501
20,3,0.05,16,DF-PC (Pure),0.5964912280701755,0.6296296296296297,0.5666666666666667,23.0,3093,1435,1658
20,3,0.05,17,DF-PC (Pure),0.5333333333333333,0.5333333333333333,0.5333333333333333,28.0,3032,1325,1707
20,3,0.05,18,DF-PC (Pure),0.4727272727272728,0.52,0.43333333333333335,29.0,2837,1473,1364
20,3,0.05,19,DF-PC (Pure),0.5517241379310344,0.5714285714285714,0.5333333333333333,26.0,2786,1412,1374
20,3,0.05,20,DF-PC (Pure),0.7857142857142856,0.8461538461538461,0.7333333333333333,12.0,2774,1190,1584
20,3,0.05,21,DF-PC (Pure),0.523076923076923,0.4857142857142857,0.5666666666666667,31.0,3212,1522,1690
20,3,0.05,22,DF-PC (Pure),0.6129032258064516,0.59375,0.6333333333333333,24.0,3758,1660,2098
20,3,0.05,23,DF-PC (Pure),0.5454545454545454,0.6,0.5,25.0,2960,1486,1474
20,3,0.05,24,DF-PC (Pure),0.819672131147541,0.8064516129032258,0.8333333333333334,11.0,4078,1642,2436
20,3,0.05,25,DF-PC (Pure),0.4482758620689655,0.4642857142857143,0.43333333333333335,32.0,3429,1395,2034
20,3,0.05,26,DF-PC (Pure),0.5862068965517241,0.6071428571428571,0.5666666666666667,24.0,2455,1047,1408
20,3,0.05,27,DF-PC (Pure),0.5373134328358209,0.4864864864864865,0.6,31.0,4601,2082,2519
20,3,0.05,28,DF-PC (Pure),0.5161290322580646,0.5,0.5333333333333333,30.0,4083,1994,2089
20,3,0.05,29,DF-PC (Pure),0.6206896551724138,0.6428571428571429,0.6,22.0,3024,1357,1667
20,3,0.1,0,Standard PC,0.4444444444444444,0.6666666666666666,0.3333333333333333,25.0,1744,1744,0
20,3,0.1,1,Standard PC,0.2325581395348837,0.38461538461538464,0.16666666666666666,33.0,1792,1792,0
20,3,0.1,2,Standard PC,0.2631578947368421,0.625,0.16666666666666666,28.0,1258,1258,0
20,3,0.1,3,Standard PC,0.1951219512195122,0.36363636363636365,0.13333333333333333,33.0,1675,1675,0
20,3,0.1,4,Standard PC,0.36000000000000004,0.45,0.3,32.0,2023,2023,0
20,3,0.1,5,Standard PC,0.29268292682926833,0.5454545454545454,0.2,29.0,1800,1800,0
20,3,0.1,6,Standard PC,0.37209302325581395,0.6153846153846154,0.26666666666666666,27.0,1720,1720,0
20,3,0.1,7,Standard PC,0.30769230769230765,0.6666666666666666,0.2,27.0,1307,1307,0
20,3,0.1,8,Standard PC,0.21739130434782608,0.3125,0.16666666666666666,36.0,2148,2148,0
20,3,0.1,9,Standard PC,0.4878048780487804,0.9090909090909091,0.3333333333333333,21.0,1425,1425,0
20,3,0.1,10,Standard PC,0.13636363636363638,0.21428571428571427,0.1,38.0,1666,1666,0
20,3,0.1,11,Standard PC,0.10256410256410256,0.2222222222222222,0.06666666666666667,35.0,1532,1532,0
20,3,0.1,12,Standard PC,0.1951219512195122,0.36363636363636365,0.13333333333333333,33.0,1534,1534,0
20,3,0.1,13,Standard PC,0.36363636363636365,0.5714285714285714,0.26666666666666666,28.0,1811,1811,0
20,3,0.1,14,Standard PC,0.20512820512820512,0.4444444444444444,0.13333333333333333,31.0,1433,1433,0
20,3,0.1,15,Standard PC,0.3181818181818182,0.5,0.23333333333333334,30.0,1453,1453,0
20,3,0.1,16,Standard PC,0.32432432432432434,0.8571428571428571,0.2,25.0,1831,1831,0
20,3,0.1,17,Standard PC,0.3404255319148936,0.47058823529411764,0.26666666666666666,31.0,1730,1730,0
20,3,0.1,18,Standard PC,0.47619047619047616,0.8333333333333334,0.3333333333333333,22.0,1933,1933,0
20,3,0.1,19,Standard PC,0.3,0.6,0.2,28.0,1467,1467,0
20,3,0.1,20,Standard PC,0.4651162790697674,0.7692307692307693,0.3333333333333333,23.0,1516,1516,0
20,3,0.1,21,Standard PC,0.15,0.3,0.1,34.0,1936,1936,0
20,3,0.1,22,Standard PC,0.25,0.5,0.16666666666666666,30.0,1973,1973,0
20,3,0.1,23,Standard PC,0.23809523809523808,0.4166666666666667,0.16666666666666666,32.0,1696,1696,0
20,3,0.1,24,Standard PC,0.2564102564102564,0.5555555555555556,0.16666666666666666,29.0,1256,1256,0
20,3,0.1,25,Standard PC,0.34146341463414637,0.6363636363636364,0.23333333333333334,27.0,1807,1807,0
20,3,0.1,26,Standard PC,0.3181818181818182,0.5,0.23333333333333334,30.0,1588,1588,0
